blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,longitude,latitude
105,CANBERRA ST,3,2017,N,Y,N,Y,N,N,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,103.832416,1.448838
105,CLEMENTI ST 12,4,1984,Y,Y,N,N,N,N,CL,42,0,0,41,0,0,0,0,0,0,0,1,0,103.77008,1.322556
105,DEPOT RD,2,2016,N,N,N,N,Y,N,BM,0,0,0,0,0,0,0,0,0,0,0,0,0,103.812371,1.280897
105,EDGEFIELD PLAINS,4,2001,N,N,N,N,Y,N,PG,0,0,0,0,0,0,0,0,0,0,0,0,0,103.905621,1.397249
105,GANGSA RD,4,1986,Y,N,N,N,N,N,BP,40,0,0,24,16,0,0,0,0,0,0,0,0,103.767763,1.378312
105,HENDERSON CRES,24,1974,Y,N,N,Y,N,N,BM,270,0,0,264,0,6,0,0,0,0,0,0,0,103.822541,1.290104
105,HOUGANG AVE 1,4,2005,N,N,Y,N,Y,N,HG,0,0,0,0,0,0,0,0,0,0,0,0,0,103.89016,1.354173
105,JLN BT MERAH,12,1967,Y,Y,N,Y,N,N,BM,324,0,0,0,0,0,0,0,0,306,18,0,0,5.962554,50.300123
105,JLN RAJAH,9,1983,Y,N,N,Y,N,N,KWN,72,0,0,0,0,0,72,0,0,0,0,0,0,103.854019,1.328406
105,JURONG EAST ST 13,12,1982,Y,N,N,N,N,N,JE,98,0,0,0,98,0,0,0,0,0,0,0,0,103.738529,1.337386
105,LENGKONG TIGA,4,1988,Y,N,N,N,N,N,BD,8,0,0,0,0,0,8,0,0,0,0,0,0,103.910131,1.325642
105,LOR 1 TOA PAYOH,10,1967,Y,N,N,N,N,N,TP,160,0,0,0,0,0,0,0,0,0,160,0,0,103.849098,1.340412
105,PASIR RIS ST 12,11,1988,Y,N,N,Y,N,N,PRC,120,0,0,0,68,52,0,0,0,0,0,0,0,103.957419,1.368451
105,POTONG PASIR AVE 1,16,1984,Y,N,N,Y,N,N,TP,178,0,0,152,26,0,0,0,0,0,0,0,0,103.868862,1.334447
105,RIVERVALE WALK,17,1997,Y,N,N,N,N,N,SK,78,0,0,0,60,18,0,0,0,0,0,0,0,103.900701,1.382229
105,SERANGOON NTH AVE 1,13,1983,Y,N,N,N,N,N,SGN,120,0,0,120,0,0,0,0,0,0,0,0,0,103.87023,1.370252
105,SIMEI ST 1,4,1987,Y,N,N,N,N,N,TAP,32,0,0,0,0,0,32,0,0,0,0,0,0,103.950654,1.341027
105,SPOTTISWOODE PK RD,25,1976,Y,N,N,N,N,N,BM,94,0,0,0,0,92,2,0,0,0,0,0,0,103.834493,1.273796
105,TAMPINES ST 11,11,1982,Y,N,N,N,N,N,TAP,119,0,0,78,40,0,1,0,0,0,0,0,0,103.947178,1.348044
105,TECK WHYE LANE,12,1987,Y,N,N,N,N,N,CCK,132,0,0,65,66,0,0,0,0,0,0,1,0,103.752996,1.37763
105,TOWNER RD,25,1984,Y,N,N,Y,N,N,KWN,275,0,0,120,155,0,0,0,0,0,0,0,0,103.861212,1.32065
105,WOODLANDS ST 13,13,1984,Y,Y,N,N,N,N,WL,111,0,0,0,111,0,0,0,0,0,0,0,0,103.781577,1.436857
105,YISHUN RING RD,1,1984,N,N,Y,N,N,N,YS,0,0,0,0,0,0,0,0,0,0,0,0,0,103.828114,1.431718
105A,BIDADARI PK DR,17,2019,Y,Y,N,N,N,N,TP,64,0,0,0,28,36,0,0,0,0,0,0,0,103.870438,1.334006
105A,DEPOT RD,21,2016,Y,N,N,N,N,N,BM,160,0,0,80,80,0,0,0,0,0,0,0,0,103.811514,1.281063
105A,EDGEFIELD PLAINS,17,2001,Y,N,N,N,N,N,PG,85,0,0,0,28,57,0,0,0,0,0,0,0,103.905709,1.396911
105A,JLN BT MERAH,1,2003,N,N,N,N,N,Y,BM,0,0,0,0,0,0,0,0,0,0,0,0,0,3.619258,51.21624
105B,BIDADARI PK DR,17,2019,Y,N,N,N,N,N,TP,92,0,0,0,54,38,0,0,0,0,0,0,0,103.870464,1.333543
105B,DEPOT RD,1,2017,N,N,N,N,N,Y,BM,0,0,0,0,0,0,0,0,0,0,0,0,0,103.811135,1.281109
105B,EDGEFIELD PLAINS,17,2001,Y,N,N,N,N,N,PG,85,0,0,0,28,57,0,0,0,0,0,0,0,103.906021,1.397261
105C,EDGEFIELD PLAINS,17,2001,Y,N,N,N,N,N,PG,85,0,0,0,28,57,0,0,0,0,0,0,0,103.905608,1.397679
105D,EDGEFIELD PLAINS,17,2001,Y,N,N,Y,N,N,PG,85,0,0,0,28,57,0,0,0,0,0,0,0,103.905275,1.397244
106,ALJUNIED CRES,12,1978,Y,Y,N,Y,N,N,GL,194,0,0,167,22,4,0,0,0,0,0,1,0,103.882915,1.319058
106,ANG MO KIO AVE 4,11,1977,Y,N,N,Y,N,N,AMK,138,0,0,115,20,2,0,0,0,0,0,1,0,103.837493,1.371931
106,BEDOK RESERVOIR RD,12,1985,Y,N,N,N,N,N,BD,110,0,0,0,110,0,0,0,0,0,0,0,0,103.909369,1.329516
106,BEDOK NTH AVE 4,13,1977,Y,N,N,N,N,N,BD,168,0,34,0,0,0,0,0,0,0,134,0,0,103.937107,1.334453
106,BIDADARI PK DR,3,2019,N,Y,N,N,Y,N,TP,0,0,0,0,0,0,0,0,0,0,0,0,0,103.870767,1.333807
106,BISHAN ST 12,13,1985,Y,Y,N,N,N,N,BH,96,0,0,0,96,0,0,0,0,0,0,0,0,103.847848,1.346102
106,BT PURMEI RD,13,1983,Y,N,N,N,N,N,BM,123,0,0,51,72,0,0,0,0,0,0,0,0,103.825974,1.273394
106,BT BATOK CTRL,8,1984,Y,N,N,Y,N,N,BB,100,0,0,0,100,0,0,0,0,0,0,0,0,103.749756,1.350271
